"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro de contas","Deve inserir uma conta com sucesso","SUCCESS","2019-02-20T20:53:57.405-03:00[America/Fortaleza]","0.0","14.79"
"Cadastro de contas","Não deve inserir uma conta com nome já existente","SUCCESS","2019-02-20T20:54:12.201-03:00[America/Fortaleza]","0.0","3.28"
"Cadastro de contas","Não deve inserir uma conta sem nome","SUCCESS","2019-02-20T20:54:15.484-03:00[America/Fortaleza]","0.0","2.59"
"Cadastro de contas","Excluir uma conta","SUCCESS","2019-02-20T20:54:18.082-03:00[America/Fortaleza]","0.0","2.96"
